register_#,annual_dfo,country,began,ended,days,deaths,displaced,damage_usd,main_cause,severity,sq_km,flood_magnitude_index,centroid_x,centroid_y
472,93840,India,10/17/90,10/18/90,2,10,6000,1170000,Heavy rain,1,93.84,5.27,92.817,26.075
473,9560,France,10/18/90,10/19/90,2,1,,,Heavy rain,1,9.56,4.28,6.204,43.501
474,13580,India,10/24/90,10/28/90,5,44,,,Monsoonal rain,1,13.58,4.83,77.05,11.398
475,1040,Bangladesh,10/26/90,10/29/90,4,0,4500,,Brief torrential rain,1,1.04,3.62,90.702,22.575
476,7030,Indonesia,10/26/90,10/29/90,4,0,300,,Heavy rain,1,7.03,4.45,120.486,0.618
478,1760,Guyana,11/3/90,11/8/90,6,0,,,Heavy rain,1,1.76,4.02,-57.425,6.081
479,118200,Japan,11/5/90,11/6/90,2,11,,,Heavy rain,1,118.2,5.37,140.54,39.37
480,41830,Honduras,11/9/90,11/21/90,13,9,20000,100000000,Heavy rain,1,41.83,5.74,-84.493,15.323
481,23290,USA,11/10/90,11/15/90,6,0,500,12800000,Heavy rain,1,23.29,5.15,-121.84,48.038
482,55710,Philippines - Typhoon Mike,11/12/90,11/16/90,5,176,984356,61570000,Tropical cyclone,1,55.71,5.44,125.356,11.25
483,21310,US,11/26/90,11/30/90,5,2,1000,36000000,Heavy rain,1,21.31,5.03,-86.682,40.932
484,9710,Sri Lanka,12/23/90,12/27/90,5,0,40000,,Heavy rain,1,9.71,4.69,81.497,7.035
485,47110,England,12/25/90,12/28/90,4,3,,,Heavy rain,1,47.11,5.28,-2.149,53.72
486,111300,Peru,12/28/90,12/30/90,3,20,2000,,Heavy rain,1,111.3,5.52,-73.849,-13.479
487,177900,USA,12/31/90,1/3/91,4,0,3500,,Heavy rain,1,177.9,5.85,-83.122,39.914
488,96490,Australia - Cyclone Joy,12/25/90,1/16/91,23,6,800,80000000,Extra-tropical cyclone,1.5,96.49,6.52,149.127,-23.672
489,25300,Indonesia,12/12/90,1/3/91,23,5,,167000,Heavy rain,1,25.3,5.76,103.373,-1.58
491,448300,Iran,1/27/91,2/5/91,10,6,50000,28000000,Heavy rain,2,448.3,6.95,58.571,31.721
492,114100,Ecuador,2/2/91,2/8/91,7,14,300,2000000,Heavy rain,1,114.1,5.9,-79.653,-1.319
493,225200,Afghanistan,1/28/91,2/17/91,21,380,,,Heavy rain,1,225.2,6.67,64.368,31.652
494,15090,Britain,2/24/91,3/1/91,6,0,,,Heavy rain,2,15.09,5.26,-1.582,54.906
495,624200,Iran,3/7/91,4/1/91,26,0,100000,1400000,Heavy rain,1,624.2,7.21,55.417,29.332
496,3060,Malawi,3/11/91,3/14/91,4,500,150000,24000000,Brief torrential rain,1.5,3.06,4.26,35.486,-15.937
497,210500,South Africa,3/15/91,3/19/91,5,0,,,Heavy rain,1,210.5,6.02,25.447,-27.744
498,89510,Brazil,3/19/91,3/31/91,13,20,17000,2000000,Heavy rain,1.5,89.51,6.24,-45.089,-23.012
499,880,USA,3/19/91,3/25/91,7,0,200,,Heavy rain,1,880,3.79,-157.952,21.537
500,3680,Jordan,3/24/91,3/25/91,2,5,,,Brief torrential rain,1,3.68,3.87,35.953,31.908
501,12330,Israel,3/24/91,3/25/91,2,8,,,Brief torrential rain,1,12.33,4.39,34.992,30.588
502,31920,Iran,3/30/91,4/1/91,3,0,,,Heavy rain,1,31.92,4.98,54.092,31.951
503,35450,Indonesia,4/1/91,4/2/91,2,1,100000,,Heavy rain,1,35.45,4.85,100.463,-0.929
504,32170,USA,4/5/91,4/9/91,5,0,,3000000,Heavy rain,1,32.17,5.21,-97.665,27.441
505,1790,Bangladesh,4/8/91,4/9/91,2,0,,,Brief torrential rain,1,1.79,3.55,91.592,24.941
506,119200,USA,4/28/91,5/2/91,5,0,10000,100000000,Heavy rain,1,119.2,5.78,-91.338,32.05
508,97550,Soviet Union,5/1/91,5/8/91,8,0,,80000000,Heavy rain,1,97.55,5.89,44.077,41.905
509,22130,USA,5/3/91,5/7/91,5,2,800,,Ice jam/break-up,1,22.13,5.04,-147.426,64.815
510,26040,India,5/7/91,5/11/91,5,13,25000,,Tropical cyclone,1,26.04,5.11,92.423,24.47
511,17480,Bangladesh,5/14/91,5/31/91,18,100,1000000,,Heavy rain,1,17.48,5.5,91.527,24.623
512,40170,Turkey,5/16/91,5/17/91,2,42,500,25000000,Brief torrential rain,1,40.17,4.9,39.276,38.451
513,1683000,China,5/18/91,6/15/91,29,400,600000,75000000000,Heavy rain,1.5,1.683.000,7.86,110.256,28.735
514,7560,Jamaica,5/21/91,5/23/91,3,15,320000,32000000,Brief torrential rain,1,7.56,4.36,-77.297,18.133
515,15990,South Korea,5/25/91,5/27/91,3,0,,152000,Heavy rain,1,15.99,4.68,127.408,36.591
516,24270,Afghanistan,5/28/91,6/4/91,8,0,1000,,Heavy rain,1,24.27,5.29,66.167,36.185
517,32280,Algeria,6/1/91,6/4/91,4,17,1000,,Heavy rain,1,32.28,5.11,7.889,35.159
518,42640,Sri Lanka,6/2/91,6/6/91,5,31,191700,,Monsoonal rain,1,42.64,5.33,80.685,7.303
519,16500,Colombia,6/3/91,6/7/91,5,57,239,,Heavy rain,1,16.5,4.92,-76.173,6.782
520,88240,Indonesia,6/9/91,6/11/91,3,73,,,Brief torrential rain,1,88.24,5.42,114.253,-1.687
521,491400,India,6/10/91,6/12/91,3,72,300000,100000000,Monsoonal rain,1.5,491.4,6.34,73.732,15.733
522,78320,USA,6/11/91,6/12/91,2,2,,,Brief torrential rain,1,78.32,5.19,-92.341,31.162
523,79580,Pakistan,6/11/91,6/12/91,2,39,2400,,Heavy rain,1,79.58,5.2,72.132,34.079
524,19050,China,6/12/91,6/14/91,3,22,4000,2000000,Heavy rain,2,19.05,5.06,116.436,40.212
525,30040,Bangladesh,6/17/91,6/27/91,11,0,160000,,Monsoonal rain,1,30.04,5.52,91.397,22.946
526,15850,Chile,6/18/91,6/19/91,2,120,30000,6000000,Brief torrential rain,1,15.85,4.5,-69.906,-23.486
527,5700,South Africa,6/24/91,6/25/91,2,0,,,Heavy rain,1,5.7,4.06,18.816,-33.931
