register_#,annual_dfo,country,began,ended,days,deaths,displaced,damage_usd,main_cause,severity,sq_km,flood_magnitude_index,centroid_x,centroid_y
1936,369950,Columbia,6/4/02,6/13/02,10,17,84000,,Heavy rain,1,369.95,6.57,-74.037,1.786
1937,43980,USA,6/4/02,6/6/02,3,0,500,,Heavy rain,1,43.98,5.12,-91.023,42.263
1939,205300,Uruguay,4/23/02,5/9/02,17,0,3600,,Heavy rain,1,205.3,6.54,-55.951,-32.486
1940,124900,China,5/23/02,6/22/02,31,22,,50000000,Heavy rain,1.5,124.9,6.76,82.549,43.367
1941,2920,Honduras,6/6/02,6/13/02,8,10,4000,,Heavy rain,1,2.92,4.37,-87.178,14.103
1942,103700,Germany,6/6/02,6/9/02,4,8,100,,Brief torrential rain,1,103.7,5.62,10.612,47.137
1943,47500,USA,6/8/02,6/29/02,22,0,,370000000,Heavy rain,1.5,47.5,6.2,-95.906,47.341
1944,252000,China,6/8/02,6/18/02,11,326,300000,400000000,Heavy rain,2,252,6.74,108.51,33.209
1945,1300,Vietnam,6/9/02,6/11/02,3,3,,,Heavy rain,1,1.3,3.59,105.025,22.78
1946,66440,Russia,6/9/02,6/15/02,7,0,,,Heavy rain,1,66.44,5.67,61.551,55.552
1947,860,Ghana,6/10/02,6/12/02,3,0,,,Heavy rain,1,860,3.41,-0.197,5.647
1948,3000,Jamaica,6/12/02,6/16/02,5,7,400,20000000,Heavy rain,1,3,4.18,-77.201,17.964
1949,10640,Russia,6/12/02,6/14/02,3,0,,1500000,Heavy rain,1,10.64,4.5,47.042,43.525
1950,11380,USA,6/12/02,6/14/02,3,0,,,Heavy rain,1,11.38,4.53,-72.444,44.533
1951,15670,Cuba,6/12/02,6/16/02,5,0,30000,,Heavy rain,1,15.67,4.89,-79.431,22.002
1952,3790,India,6/16/02,6/22/02,7,0,25000,,Monsoonal rain,1,3.79,4.42,95.383,27.803
1953,1160,Tajikistan,6/16/02,6/18/02,3,4,,,Heavy rain,1,1.16,3.54,68.826,38.55
1954,50530,China,6/12/02,6/19/02,8,11,,12000000,Heavy rain,2,50.53,5.91,118.078,26.517
1955,130300,China,6/15/02,6/24/02,10,53,32000,50740000,Heavy rain,1,130.3,6.11,111.824,28.022
1956,18940,Brazil,6/12/02,6/19/02,8,0,2000,,Heavy rain,1,18.94,5.18,-51.53,-29.944
1957,765,Romania,6/16/02,6/18/02,3,0,,,Heavy rain,1,765,3.36,24.607,46.603
1958,13630,China,6/13/02,6/24/02,12,24,150000,,Heavy rain,1,13.63,5.21,116.52,27.852
1959,20150,China,6/14/02,6/22/02,9,0,8000,200000000,Heavy rain,1.5,20.15,5.43,110.574,25.341
1960,18370,Bangladesh,6/18/02,6/24/02,7,4,20000,,Monsoonal rain,1,18.37,5.11,90.992,25.223
1961,6480,New Zealand,6/21/02,6/23/02,3,1,,3000000,Heavy rain,1.5,6.48,4.46,175.172,-37.261
1962,224600,Russia,6/19/02,7/1/02,13,117,200000,437000000,Heavy rain,2,224.6,6.77,43.255,43.993
1963,5530,Canada,6/9/02,6/12/02,4,0,,,Heavy rain,1,5.53,4.34,-94.044,48.853
1964,22460,China,6/21/02,6/25/02,5,0,,,Heavy rain,1,22.46,5.05,107.99,33.025
1965,2750,Ireland,6/22/02,6/24/02,3,0,,,Heavy rain,1,2.75,3.92,-6.159,54.564
1966,2200,Vietnam,6/20/02,6/23/02,4,4,,723684,Heavy rain,1,2.2,3.94,107.069,11.789
1969,170600,India,6/26/02,7/3/02,8,169,28000,,Monsoonal rain,1,170.6,6.14,73.662,20.868
1970,13580,Georgia,6/29/02,7/2/02,4,0,,3000000,Heavy rain,1.5,13.58,4.91,45.592,41.753
1971,600000,China,6/30/02,7/13/02,14,0,,,Heavy rain,1,600,6.92,115.253,29.663
1972,108300,USA,6/30/02,7/23/02,24,9,4000,1000000000,Heavy rain,1.5,108.3,6.59,-98.359,29.533
1973,179000,China,6/29/02,7/6/02,8,11,80000,,Heavy rain,1,179,6.16,110.702,25.019
1974,276600,India,6/21/02,8/28/02,69,503,15000000,,Monsoonal rain,1,276.6,7.28,89.27,25.842
1975,4730,China,7/4/02,7/7/02,4,5,,,Heavy rain,1,4.73,4.28,109.831,37.042
1976,9640,South Korea,7/5/02,7/7/02,3,4,,,Heavy rain,1,9.64,4.46,128.436,35.037
1977,1400,Columbia,7/5/02,7/8/02,4,0,18000,,Heavy rain,1,1.4,3.75,-70.785,7.059
1978,3900,Yemen,7/6/02,7/8/02,3,10,,,Heavy rain,1,3.9,4.07,43.705,15.182
1979,710,USA,7/6/02,7/8/02,3,1,,800000,Heavy rain,1,710,3.33,-101.738,41.092
1980,2000,Nepal,7/7/02,7/9/02,3,0,,,Heavy rain,1,2,3.78,83.355,27.575
1981,20600,Philippines,7/6/02,7/19/02,14,61,25000,8000000,Tropical cyclone,1,20.6,5.46,120.563,15.34
1982,290,Greece,7/8/02,7/9/02,2,1,,,Heavy rain,1,290,2.76,23.775,38.054
1983,1400,Japan,7/9/02,7/11/02,3,1,10000,,Tropical cyclone,1,1.4,3.62,136.714,35.306
1984,49720,Russia,7/12/02,7/16/02,5,0,2000,,Heavy rain,1,49.72,5.4,98.43,56.084
1985,6950,New Zealand,7/12/02,7/15/02,4,0,,,Heavy rain,1,6.95,4.44,174.757,-36.952
1986,350,Spain,7/13/02,7/15/02,3,0,,,Heavy rain,1,350,3.02,2.685,39.62
1987,3708,Guatemala,7/13/02,7/15/02,3,2,,,Heavy rain,1,3.708,4.05,-89.74,15.365
1988,1326,Czech Republic,7/14/02,7/17/02,4,3,,,Heavy rain,1,1.326,3.72,16.635,49.536
1989,32890,Mongolia,7/14/02,7/16/02,3,7,,20000,Heavy rain,1,32.89,4.99,101.339,48.206
1990,1050,Nepal,7/14/02,7/16/02,3,46,,,Monsoonal rain,1,1.05,3.5,86.88,27.293
1991,46640,Vietnam,7/15/02,12/2/02,141,155,200000,25400000,Monsoonal rain,1,46.64,6.82,105.254,10.502
1992,5570,South Africa,7/19/02,7/21/02,3,8,,,Heavy rain,1,5.57,4.22,27.708,-31.243
1993,1660,Iran,7/20/02,7/21/02,2,3,,,Heavy rain,1,1.66,3.52,57.929,37.415
1994,2190,Slovakia,7/19/02,7/23/02,5,0,,,Heavy rain,1,2.19,4.04,21.266,49.059
1995,5420,Romania,7/19/02,7/23/02,5,5,,,Heavy rain,1,5.42,4.43,26.178,47.647
1996,224900,Venezuela,7/20/02,7/31/02,12,5,50000,3000000,Heavy rain,1,224.9,6.43,-69.307,7.565
1997,23880,Russia,7/20/02,7/26/02,7,0,1500,645000,Heavy rain,1,23.88,5.22,132.38,43.882
1998,12840,Philippines,7/20/02,7/28/02,9,18,7000,,Tropical cyclone,1,12.84,5.06,121.063,14.669
1999,15070,Nepal,7/21/02,8/15/02,26,380,250000,,Monsoonal rain,1,15.07,5.59,85.306,27.696
2000,15130,Turkey,7/23/02,7/27/02,5,34,3000,,Monsoonal rain,1,15.13,4.88,35.053,40.002
2001,1150,USA,7/23/02,7/24/02,2,0,25,,21,1,1.15,3.36,-135.3,59.603
2002,990,Iran,7/23/02,7/26/02,4,6,,,Heavy rain,1,990,3.6,48.067,37.615
2003,1650,Nigeria,7/24/02,7/26/02,3,2,,,Heavy rain,1,1.65,3.69,3.281,6.606
2004,5160,Yemen,7/24/02,7/26/02,3,13,,,Heavy rain,1,5.16,4.19,44.008,15.229
2005,127600,China,7/21/02,7/29/02,9,15,10000,38600000,Heavy rain,1.5,127.6,6.24,89.005,46.343
2006,2050,USA,7/25/02,7/27/02,3,0,100,3000000,Heavy rain,1,2.05,3.79,-80.686,37.211
2007,17600,USA,4/27/02,5/31/02,35,0,,7800000,Snowmelt,1,17.6,5.79,-156.216,62.233
2008,3340,Afghanistan,7/28/02,7/30/02,3,0,,,Heavy rain,2,3.34,4.3,65.936,36.347
2009,280,South Africa,7/28/02,8/3/02,7,0,2300,,Heavy rain,1,280,3.29,18.58,-34.013
2010,8400,Bulgaria,7/28/02,7/31/02,4,0,,,Heavy rain,1,8.4,4.53,25.425,41.863
2911,170100,India,7/4/06,7/7/06,4,24,8400,0,Heavy rain,1,170.1,5.83,-1.445,53.91
2012,3420,Romania,7/30/02,8/3/02,5,2,4000,,Heavy rain,1,3.42,4.23,28.378,44.383
2013,22270,Germany,7/31/02,8/8/02,9,0,,,Brief torrential rain,1,22.27,5.3,13.25,50.954
2014,27820,Vietnam,7/31/02,8/6/02,7,10,2000,2200000,Heavy rain,1,27.82,5.29,103.689,22.108
2015,1350,Russia,8/1/02,8/6/02,6,0,80,,Heavy rain,1,1.35,3.91,133.885,45.935
2016,6080,China,8/3/02,8/6/02,4,2,,,Heavy rain,1,6.08,4.39,122.641,40.974
2017,1350,Pakistan,8/3/02,8/7/02,5,3,800,,Heavy rain,1,1.35,3.83,71.206,30.017
2018,5170,China,8/4/02,8/5/02,2,28,,,Heavy rain,1,5.17,4.01,104.559,35.627
2019,2100,China,8/5/02,8/12/02,8,10,1500,,Tropical cyclone,1,2.1,4.23,116.272,24.461
2020,29700,South Korea,8/5/02,8/11/02,7,21,26000,,Heavy rain,1,29.7,5.32,125.66,38.893
2021,16410,Romania,8/6/02,8/7/02,2,1,,,Heavy rain,1,16.41,4.52,23.674,47.018
2023,94510,China,8/6/02,8/28/02,23,124,270000,2200000000,Heavy rain,1,94.51,6.34,112.817,26.778
2024,252300,Czech Republic,8/7/02,8/28/02,22,55,250000,20000000000,Heavy rain,2,252.3,7.05,13.029,48.568
2025,10860,Russia,8/8/02,8/12/02,5,59,48000,32000000,Heavy rain,1.5,10.86,4.91,38.665,44.328
2026,60,UK,8/10/02,8/12/02,3,0,250,,Heavy rain,1,60,2.26,-0.327,54.196
2027,6770,India,8/11/02,8/13/02,3,33,,,Heavy rain,1,6.77,4.31,78.524,30.562
2028,520,China,8/8/02,8/13/02,6,5,,12000000,Heavy rain,1,520,3.49,104.103,30.689
2029,9720,Iran,8/10/02,8/14/02,5,35,,3750000,Heavy rain,1,9.72,4.69,55.553,37.523
2030,11680,Philippines,8/13/02,8/17/02,5,29,3000,,Tropical cyclone,1,11.68,4.77,122.971,10.174
2031,28020,China,8/13/02,8/17/02,5,21,,22000000,Heavy rain,1,28.02,5.15,119.44,28.858
2033,3000,South Africa,8/16/02,8/18/02,3,16,2500,,Heavy rain,1,3,3.95,27.712,-32.897
2034,17270,China,8/14/02,8/20/02,7,106,13000,4200000,Heavy rain,1,17.27,5.08,99.441,25.571
2035,50980,Vietnam,8/14/02,8/22/02,9,29,80000,2000000,Heavy rain,1.5,50.98,5.84,104.679,22.564
2036,17450,China,8/15/02,8/19/02,5,0,,,Heavy rain,1.5,17.45,5.12,75.415,39.732
2037,49780,Thailand,8/17/02,9/20/02,35,2,150000,,Heavy rain,1,49.78,6.24,98.361,17.159
2038,25340,Algeria,8/17/02,8/28/02,12,28,500,1500000,Heavy rain,1,25.34,5.48,7.159,35.859
2039,358600,Thailand,8/18/02,11/26/02,101,65,400000,32000000,Monsoonal rain,1.5,358.6,7.74,103.527,16.772
2040,4900,Pakistan,8/22/02,8/28/02,7,22,3000,30000,Heavy rain,1,4.9,4.54,72.027,34.492
2041,125500,Burma (Myanmar),8/17/02,9/4/02,19,0,5000,,Monsoonal rain,1.5,125.5,6.55,95.753,22.419
2042,62180,Chile,8/24/02,8/29/02,6,2,8000,,Heavy rain,1,62.18,5.57,-72.131,-35.863
2043,12950,Vietnam,8/19/02,8/24/02,6,4,6000,3000000,Monsoonal rain,1,12.95,4.89,108.131,12.646
2044,9150,Sierra Leone,8/29/02,9/1/02,4,0,500,,Heavy rain,1,9.15,4.56,-11.677,8.091
2045,12000,South Korea,8/31/02,9/3/02,4,138,70000,800000000,Heavy rain,1,12,4.68,128.621,35.438
2046,1300,Russia,8/28/02,9/6/02,10,0,,,Heavy rain,1,1.3,4.11,133.885,45.935
2047,11480,Guatemala,8/29/02,9/5/02,8,3,,,Heavy rain,1,11.48,4.96,-91.133,14.279
2048,280,Greece,9/3/02,9/5/02,3,0,,,Heavy rain,1,280,2.92,23.775,38.054
2049,79000,India,9/3/02,9/6/02,4,22,5000,,Monsoonal rain,1,79,5.5,73.22,21.539
2050,90,Italy,9/4/02,9/6/02,3,0,1200,,Heavy rain,1,90,2.43,10.4,42.828
2051,19470,Yemen,8/22/02,9/6/02,16,28,,,Heavy rain,1,19.47,5.49,50.078,15.197
2052,10480,France,9/8/02,9/12/02,5,23,2500,1200000000,Heavy rain,1,10.48,4.72,4.448,44.035
2053,5100,New Zealand,9/19/02,9/21/02,3,0,,,Heavy rain,1,5.1,4.18,168.593,-44.951
2054,35140,Mexico,9/17/02,9/21/02,5,10,,,Heavy rain,1,35.14,5.24,-99.395,25.505
2055,63450,Kenya,9/16/02,9/19/02,4,0,,,Heavy rain,1,63.45,5.4,38.853,-3.09
2056,97960,USA,9/6/02,9/19/02,14,0,,,Heavy rain,1,97.96,6.14,-96.03,29.651
2057,5640,USA,9/21/02,9/24/02,4,0,,,Tropical cyclone,1,5.64,4.35,-84.88,31.042
2058,48800,Cuba,9/18/02,9/26/02,9,6,300000,,Tropical cyclone,1,48.8,5.64,-88.076,20.744
2059,19980,Vietnam,9/20/02,9/30/02,11,76,200000,58000000,Heavy rain,1.5,19.98,5.52,105.175,18.578
2060,11920,Albania,9/21/02,10/8/02,18,1,9700,17500000,Heavy rain,1,11.92,5.33,19.774,41.398
2061,139700,Thailand,9/17/02,12/2/02,77,1,3000,,Monsoonal rain,1,139.7,7.03,100.951,14.974
2062,4230,Bulgaria,9/25/02,9/28/02,4,0,,,Heavy rain,1,4.23,4.23,26.629,42.245
2063,31070,USA,9/26/02,9/29/02,4,1,2500,100000000,Tropical cyclone,1,31.07,5.09,-90.012,29.87
2064,20040,USA,9/29/02,10/7/02,9,8,317000,170000000,Tropical cyclone,1,20.04,5.26,-83.98,22.382
2065,23940,Algeria,10/9/02,10/12/02,4,13,,,Heavy rain,1,23.94,4.98,6.533,35.771
2066,11710,USA,10/10/02,10/12/02,3,3,,,Heavy rain,1,11.71,4.55,-89.924,34.607
2067,16620,USA,10/10/02,10/15/02,6,1,800,,Heavy rain,1,16.62,5,-99.288,26.722
2068,8020,Macedonia,10/10/02,10/16/02,7,0,,,Heavy rain,1,8.02,4.75,22.219,41.577
2069,9750,India,10/10/02,10/16/02,7,11,,,Monsoonal rain,1,9.75,4.83,75.527,11.874
2070,424000,Argentina,10/12/02,11/2/02,22,7,6000,,Heavy rain,1,424,6.97,-60.101,-31.072
2071,5420,Romania,10/13/02,10/16/02,4,0,,,Heavy rain,1.5,5.42,4.51,26.178,47.647
2072,135,Indonesia,10/18/02,10/20/02,3,0,3000,,Heavy rain,1,135,2.61,100.611,-1.344
2073,187500,Uruguay,10/12/02,11/11/02,31,0,2000,,Heavy rain,1,187.5,6.76,-57.962,-31.62
2074,7600,UK,10/22/02,10/25/02,4,0,100,,Heavy rain,1.5,7.6,4.66,-2.787,55.603
2075,13900,USA,10/24/02,10/28/02,5,0,,10000000,Heavy rain,1.5,13.9,5.02,-150.891,60.336
2076,106200,USA,10/23/02,11/13/02,22,1,75,,Heavy rain,1,106.2,6.37,-96.03,29.651
2077,7900,Vietnam,10/26/02,10/29/02,4,2,,,Heavy rain,1,7.9,4.5,108.878,14.206
2078,77900,Kenya,10/29/02,11/4/02,7,14,20000,,Heavy rain,1,77.9,5.74,40.093,-1.416
2079,7900,China,10/28/02,11/2/02,6,0,50000,,Heavy rain,1,7.9,4.68,113.385,24.269
2080,6900,Columbia,10/29/02,10/31/02,3,60,2000,,Heavy rain,1,6.9,4.32,-74.201,7.918
2081,22700,India,10/31/02,11/4/02,5,20,300,,Heavy rain,1,22.7,5.05,79.064,10.948
2082,8700,Vietnam,11/3/02,11/7/02,5,2,,200000,Heavy rain,1,8.7,4.64,109.03,12.529
2083,880,Trinidad,11/5/02,11/20/02,16,3,300,3300000,Tropical cyclone,1,880,4.15,-61.264,10.607
2084,6100,Peru,11/9/02,11/12/02,4,4,100,,Heavy rain,1,6.1,4.39,-74.685,-10.971
2085,11750,UK,11/14/02,11/25/02,12,1,400,,Heavy rain,2,11.75,5.45,-6.117,53
2086,4330,Canada,11/14/02,11/17/02,4,0,,,Heavy rain,1,4.33,4.24,-63.83,44.828
2087,4840,France,11/16/02,11/20/02,5,1,2500,,Heavy rain,1,4.84,4.38,4.81,45.038
2089,115400,Congo,11/10/02,1/5/03,57,0,3000,,Heavy rain,1,115.4,6.82,18.469,3.017
2090,600,New Zealand,11/19/02,11/21/02,3,0,,,Heavy rain,1,600,3.26,172.869,-43.667
2091,600,USA,11/19/02,11/21/02,3,0,,,Ice jam/break-up,1,600,3.26,-147.024,64.505
2092,13980,Uganda,11/16/02,11/25/02,10,2,2300,,Heavy rain,1,13.98,5.15,34.037,0.949
2093,65260,Somalia,11/8/02,11/21/02,14,0,,,Heavy rain,1,65.26,5.96,42.397,1.426
2094,2200,Costa Rica,11/23/02,12/13/02,21,8,7000,,Heavy rain,1.5,2.2,4.84,-83.084,9.827
2095,17000,Indonesia,11/19/02,12/3/02,15,12,117000,,Heavy rain,1.5,17,5.58,97.435,3.113
2096,1700,USA,11/23/02,11/25/02,3,0,,,Heavy rain,1,1.7,3.71,-151.454,59.931
2097,40850,Morocco,11/24/02,11/29/02,6,63,,,Heavy rain,1.5,40.85,5.57,-7.099,33.109
2098,1230,Malaysia,11/19/02,11/26/02,8,0,400,,Heavy rain,1,1.23,3.99,102.695,2.409
2099,29900,Italy,11/22/02,12/3/02,12,0,10000,350000000,Heavy rain,1,29.9,5.55,8.642,45.829
2100,1030,Greece,12/6/02,12/10/02,5,0,,,Heavy rain,1,1.03,3.71,22.39,40.157
2101,80,Brazil,12/9/02,12/11/02,3,39,2000,,Heavy rain,1.5,80,2.56,-44.326,-23.015
2102,650,Indonesia,12/11/02,12/15/02,5,28,,,Heavy rain,1,650,3.51,112.39,-7.44
2103,1300,France,12/13/02,12/14/02,2,2,,,Heavy rain,1,1.3,3.41,4.146,43.731
2104,44630,USA,12/14/02,12/24/02,11,6,,,Heavy rain,1,44.63,5.69,-122.478,38.94
2105,14150,Sri Lanka,12/16/02,12/20/02,5,2,500000,,Heavy rain,1,14.15,4.85,80.994,8.474
2106,21900,Indonesia,12/15/02,12/20/02,6,0,60000,,Heavy rain,1,21.9,5.12,100.517,0.978
2107,4210,Lebanon,12/20/02,12/22/02,3,0,300,,Heavy rain,1,4.21,4.1,35.616,33.697
2108,750,Kenya,12/21/02,12/23/02,3,6,3000,,Heavy rain,1,750,3.35,35.964,0.498
2109,780,South Africa,12/21/02,12/24/02,4,0,50,,Heavy rain,1,780,3.49,19.91,-33.397
2110,2800,Angola,12/23/02,12/25/02,3,4,40,,Heavy rain,1,2.8,3.92,13.314,-8.96
2111,14760,Indonesia,12/26/02,12/31/02,6,24,10000,,Heavy rain,1,14.76,4.95,104.218,-4.66
2112,900,Malaysia,12/27/02,12/29/02,3,0,,,Heavy rain,1,900,3.43,101.909,2.592
2113,20630,USA,12/28/02,12/31/02,4,0,,,Heavy rain,1,20.63,4.92,-124.001,40.205
2114,146,Vanuatu,12/21/02,12/25/02,5,0,,,Heavy rain,1,146,2.86,169.432,-19.572
2115,144000,USA,1/1/03,1/6/03,6,0,,,Heavy rain,1,144,5.94,-92.621,31.833
2116,23090,UK,1/1/03,1/6/03,6,0,,,Heavy rain,1,23.09,5.14,-0.544,51.265
2117,167000,Germany,1/1/03,1/8/03,8,7,1500,,Rain and snowmelt,1,167,6.13,5.625,49.207
2118,390,Kenya,1/4/03,1/6/03,3,0,300,,Heavy rain,1,390,3.07,34.851,-0.102
2119,354400,Malawi,1/1/03,2/17/03,48,23,400000,,Tropical cyclone,1,354.4,7.23,38.875,-14.766
2120,19480,Bolivia,1/3/03,1/8/03,6,1,6000,,Heavy rain,1,19.48,5.07,-64.945,-16.486
2121,1680,USA,1/4/03,1/8/03,5,0,,,Ice jam/break-up,1,1.68,3.92,-147.248,64.696
2122,880,Macedonia,1/8/03,1/10/03,3,0,,,Heavy rain,1,880,3.42,21.624,42.06
2123,4200,New Zealand,1/8/03,1/11/03,4,0,,,Heavy rain,1,4.2,4.23,175.631,-37.174
2124,75950,Brazil,1/11/03,2/4/03,25,29,16000,,Heavy rain,1,75.95,6.28,-43.144,-22.492
2125,14320,Malaysia,1/12/03,1/15/03,4,0,500,,Heavy rain,1,14.32,4.76,111.881,2.252
2126,1870,Fiji,1/14/03,1/16/03,3,15,,,Heavy rain,1,1.87,3.75,179.528,-16.471
2127,9360,Indonesia,1/14/03,2/6/03,24,0,30000,,Heavy rain,1.5,9.36,5.53,113.005,-2.429
2128,1670,Afghanistan,1/14/03,1/20/03,7,0,300,,Heavy rain,1,1.67,4.07,67.181,37.282
2129,27680,Tunisia,1/14/03,1/16/03,3,8,27000,,Heavy rain,1,27.68,4.92,9.437,36.481
2130,60480,Argentina,1/13/03,1/31/03,19,0,,,Heavy rain,1,60.48,6.06,-60.979,-29.456
2131,6740,Brazil,1/14/03,1/24/03,11,44,10000,,Heavy rain,1,6.74,4.87,-43.823,-19.793
2132,210,Bolivia,1/21/03,1/22/03,2,4,300,,Brief torrential rain,1,210,2.62,-68.13,-16.494
2133,148300,Madagascar,1/18/03,1/31/03,14,16,25000,150000000,Heavy rain,1,148.3,6.32,46.821,-20.992
2134,1900,Malaysia,1/20/03,2/10/03,22,1,1500,,Heavy rain,1,1.9,4.62,102.894,2.468
2135,330,Israel,1/21/03,1/22/03,2,0,,,Brief torrential rain,1,330,2.82,34.807,32.054
2136,290,UK,1/22/03,1/23/03,2,0,,,Heavy rain,1,290,2.76,-2.499,57.049
2137,103800,Australia,1/22/03,3/6/03,44,0,,2000000,Heavy rain,1,103.8,6.66,139.397,-17.93
2138,78940,Peru,1/23/03,2/10/03,19,7,12000,,Heavy rain,1,78.94,6.18,-70.432,-13.374
2139,3620,Tunisia,1/25/03,1/26/03,2,2,,,Heavy rain,1,3.62,3.86,9.369,36.058
2140,28760,Italy,1/25/03,1/27/03,3,1,1000,,Heavy rain,1,28.76,4.94,15.92,41.347
2141,1860,Australia,1/25/03,2/4/03,11,0,,,Heavy rain,1,1.86,4.31,145.86,-17.299
2142,30490,Indonesia,1/25/03,2/6/03,13,3,20000,,Heavy rain,1,30.49,5.6,102.452,-0.113
2143,262100,Australia,1/26/03,2/4/03,10,0,,,Heavy rain,1,262.1,6.42,118.212,-22.496
2144,36370,Peru,1/28/03,2/10/03,14,12,,,Heavy rain,1,36.37,5.71,-72.102,-13.238
2145,22240,Peru,1/28/03,2/10/03,14,6,34000,,Heavy rain,1,22.24,5.49,-69.31,-15.873
2146,276,Israel,1/29/03,1/30/03,2,0,150,,Heavy rain,1,276,2.74,35.178,33.057
2147,18390,Russia,2/1/03,2/3/03,3,0,200,,Heavy rain,1,18.39,4.74,39.673,47.225
2148,4160,Indonesia,1/30/03,2/9/03,11,0,,,Heavy rain,1,4.16,4.66,107.641,-7.047
2149,1560,Indonesia,2/4/03,2/6/03,3,7,280,,Brief torrential rain,1,1.56,3.67,102.64,-3.461
2150,88560,Mozambique,2/4/03,2/17/03,14,32,400000,,Heavy rain,1,88.56,6.09,39.834,-12.912
2151,6110,Malaysia,2/4/03,2/7/03,4,0,11000,,Heavy rain,1,6.11,4.39,110.416,1.311
2152,36500,Australia,2/5/03,2/12/03,8,1,20,2000000,Tropical cyclone,1,36.5,5.47,150.373,-23.772
2153,2670,Zambia,2/5/03,2/7/03,3,0,400,,Heavy rain,1,2.67,3.9,28.565,-14.345
2154,40590,Australia,2/11/03,2/14/03,4,0,,,Heavy rain,1,40.59,5.21,-119.012,34.307
2155,29460,USA,2/12/03,2/13/03,2,0,,,Heavy rain,1,29.46,4.77,106.847,-6.208
2156,540,Indonesia,2/13/03,2/14/03,2,3,33000,,Heavy rain,1,540,3.03,146.722,-22.278
2157,1000,Canada,2/15/03,2/21/03,7,0,1100,,Ice jam/break-up,1,1,3.85,107.604,-6.973
2158,400,Indonesia,2/16/03,2/17/03,2,0,4300,,Heavy rain,1,400,2.9,-56.033,48.983
2159,36130,USA,2/15/03,2/18/03,4,2,100,,Rain and snowmelt,1,36.13,5.16,-82.285,37.697
2160,433500,Pakistan,2/16/03,2/22/03,7,20,3000,,Heavy rain,1,433.5,6.48,68.068,27.525
2161,607300,Zambia,1/15/03,7/1/03,168,7,20000,,Heavy rain,1.5,607.3,8.18,21.701,-12.176
2162,115300,Angola,2/6/03,2/20/03,15,0,,,Heavy rain,1,115.3,6.24,18.015,-10.439
2163,26800,Pakistan,2/15/03,2/24/03,10,27,,,Rain and snowmelt,1,26.8,5.43,127.857,-18.229
2164,6350,Lebanon,2/21/03,2/24/03,4,0,,,Heavy rain,1,6.35,4.4,149.7,-32.59
2165,9000,Australia,2/21/03,2/24/03,4,0,,,Heavy rain,1,9,4.56,35.774,33.545
2166,57420,Australia,2/21/03,2/24/03,4,0,100,,Heavy rain,1,57.42,5.36,73.775,34.404
2167,568300,USA,2/22/03,3/17/03,24,1,,,Heavy rain,1,568.3,7.13,-90.065,31.463
2168,82480,USA,2/22/03,2/23/03,2,2,,,Heavy rain,1,82.48,5.22,-80.651,37.679
2169,54130,Spain,2/5/03,2/13/03,9,1,,,Heavy rain,1,54.13,5.69,-1.166,43.302
2170,552800,Australia,2/22/03,3/24/03,31,0,,,Heavy rain,1,552.8,7.23,31.159,-16.346
2171,10700,Zimbabwe,2/25/03,2/28/03,4,2,18000,200000000,Heavy rain,1,10.7,4.63,138.398,-29.213
2172,35400,Greece,1/27/03,2/7/03,12,0,,,Heavy rain,1,35.4,5.63,124.223,-17.971
2173,139100,Brazil,1/11/03,4/22/03,102,0,,,Heavy rain,1,139.1,7.15,22.224,39.609
2174,22370,Turkey,1/17/03,3/3/03,46,0,,,Heavy rain,1,22.37,6.01,26.715,41.591
2175,37810,Turkey,2/4/03,3/12/03,37,0,,,Heavy rain,1,37.81,6.15,28.312,38.089
2176,68630,Australia,3/2/03,3/11/03,10,0,,,Heavy rain,1,68.63,5.84,-50.482,-11.878
2177,24860,USA,2/26/03,3/7/03,10,0,,,Rain and snowmelt,1,24.86,5.4,32.665,-21.378
2178,116900,Mozambique,3/5/03,3/16/03,12,8,8300,,Heavy rain,1,116.9,6.15,-88.018,37.411
2179,11400,Spain,2/27/03,3/10/03,12,0,,,Heavy rain,1,11.4,5.14,-1.035,41.834
2180,338900,Australia,3/7/03,3/17/03,11,0,,,Heavy rain,1,338.9,6.57,133.126,-14.085
2181,9280,Zambia,3/11/03,3/15/03,5,0,6400,,Heavy rain,1.5,9.28,4.84,27.69,-16.066
2182,27370,USA,3/17/03,3/21/03,5,0,,,Ice jam/break-up,1,27.37,5.14,-104.729,47.716
2183,136200,USA,3/19/03,3/31/03,13,0,,,Heavy rain,1,136.2,6.25,-81.776,35.152
2184,12250,Afghanistan,3/17/03,3/28/03,12,14,2000,,Heavy rain,1,12.25,5.17,20.115,-33.757
2185,970,Columbia,3/18/03,3/19/03,2,6,,,Heavy rain,1,970,3.29,-72.492,7.91
2186,3280,Columbia,3/18/03,3/22/03,5,24,,,Heavy rain,1,3.28,4.21,-75.517,5.211
2187,79790,Ukraine,3/22/03,4/4/03,14,0,130,,Snowmelt,1,79.79,6.05,67.362,36.748
2188,660,South Africa,3/23/03,3/26/03,4,1,500,,Heavy rain,1,660,3.42,33.319,48.241
2189,370,Philippines,3/20/03,3/21/03,2,8,,,Heavy rain,1,370,2.87,173.329,-34.945
2190,1100,Indonesia,3/20/03,3/25/03,6,12,,,Heavy rain,1,1.1,3.82,133.058,44.384
2191,30390,Russia,3/25/03,4/11/03,18,0,,,Snowmelt,1,30.39,5.74,125.58,6.345
